description,business_tags,sector,category,niche
"LiyaFlix is an IPTV service provider that offers access to a wide range of TV shows, sports channels, series, movies, cartoons, news, music, documentaries, and more. They provide access to 24,913 live channels, movies and TV shows on demand, movies on demand via Netflix, and all top sports channels. Liyaflix also offers fast services, auto updates, TV guide, custom playlists, and a full playlist of FHD 4K channels. Their IPTV streaming is compatible with all devices, including Smart TVs, Android Box and Phone, Apple Devices, Amazon Fire Stick, KODI, and MAG Box. LiyaFlix offers a complete playlist of all live TV channels, including SD, FULL HD, UHD, and 4K Channels, and PPV channels with no extra fees. They also offer a complete list of TV channels for kids and the latest movies and series.","['Customized Playlists', 'TV Guide', 'Live Chat Assistance', 'IPTV Streaming Service Provider', 'Sports Channels', 'FHD 4K Playlists']",Services,Radio & Television Production,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers"
"TODO is a wholesaler of consumables for both original and alternative printing devices, specializing in inks and toners for printers. They offer a wide range of replacement parts for various brands such as Brother, Canon, Dell, Epson, Hewlett Packard, HP, Konica-Minolta, Kyocera, Lexmark, Oki, Panasonic, Ricoh, Samsung, Xerox, and Xerox. In addition to replacement parts, they also provide office supplies, original consumables, and accessories for typewriters. TODO supplies companies and institutions with their consumables and office supplies and offers advice on the purchase of new printing equipment.","['Office & Supplies', 'Dyeing Dye Tape', 'Slide Fax', 'Z-LC427 Cartridges', 'Wholesale Printing Services', 'Original and Remanufactured Printing Devices']",Wholesale,Office Supplies,Office Equipment Merchant Wholesalers
Echo's of India is a company that collaborates with Stichting Petita and Stichts De emigratiegeneratiek to create a project called 'Delen is Helen'. This project is a collaboration between the Petita Foundation and the Emigration Generation Foundation.,[],Non Profit,Social Services & NGOs,Grantmaking Foundations
"Zinotrade Sp. z o.o. is a company based in Lublin, Poland, specializing in the supply of firewood.","['Pellet/coal Briquettes Importer and Distributor', 'Firewood Supplier', 'Industrial Transportation Services', 'Importing and Distributing Biomass Products', 'Wood Fiber Distributor', 'Wood Chips Handling Equipment Distributor']",Wholesale,Renewable energy companies,Biomass Electric Power Generation
"MetInfo is an enterprise content management system that specializes in building high-quality enterprise portals for small and medium-sized businesses. The system uses PHP+MySQL architecture and has built a SEO search engine optimization mechanism, user interface language support, and commonly used function modules such as profile, news, product, download, image, recruitment, online message, feedback system, online communication, links, membership, and rights management. It offers powerful and flexible background management, visual editing, pseudo static and static page generation, personalized module adding, different columns, custom banner picture function, and other features to create beautiful and marketing quality websites for companies.","['Apple Watch Series 3', 'HUAWEI AKG H300', 'Intelligent Watches', 'Portable Sources', 'Enter Technology Company', 'Enterprise Website Management System', 'All-in-one Pcs and Laptops', 'Cell Phones', 'Mate Series', 'Universal Accessories', 'Lenovo 30600i', 'Huawei Small Swan Bluetooth Headsets', 'PC & Computer']",Manufacturing,Electronical Components Retailer,Computer Storage Device Manufacturing
"Parkside Off Sales is a liquor store located in Craigavon, Northern Ireland, United Kingdom.","['NFC Mobile Payments', 'Credit Card Payment', 'Retail Trade', 'Liquor Products and Services', 'Wheelchair Accessible Entrance']",Retail,Beer & Liquor Stores,"Beer, Wine, and Liquor Retailers"
"Bixid is a company that specializes in providing a comprehensive range of products and services for pharmacies and medical practices. They offer an electronic ordering system for both medical practices and pharmacies, including a wide range of medical supplies such as coverslips, inhalers, and inhalers. Bixid also provides support for the acquisition of practices and offers billing services for individual, collection, and call-in supplies. They aim to be a local partner for pharmacies, providing a one-stop-shop for all their needs, including pharmaceuticals, practice supplies, and customer service. Bizid's services benefit pharmacies by expanding their offerings, providing optimal support for managing practice and call in supplies, improving communication with customers, and reducing administrative tasks.","['Digital Practice Management', 'Consultation Services', 'Delivery Accuracy', 'Medical Supplies', 'Billing and Collection Consultations', 'Support for Practices', 'Professional and Personalized Advice', 'Digital Ordering System for Medical Practices', 'System Partner for Pharmacies', 'Professional Marketing Support', 'Retail', 'Background Check Services', 'Private Investigation Services', 'Medical Practices and Pharmacies', 'Professional Organization Services', 'Practice and Speech Therapy Supplies']",Wholesale,Drug Stores & Pharmacies,Drugs and Druggists' Sundries Merchant Wholesalers
"The Castanha Caramelada is a company based in Teresina, Piauí, Brazil, specializing in the supply of food products.","['Packaging Options', 'Artistic Beverages', 'Sweet Treats', 'Carbonnet Caramel', 'Carbonbon', 'Confectionery Manufacturing', 'Food Products Supplier', 'Artisanal Products', 'Wine and Cachaça Production']",Manufacturing,Bakeries & Desserts,Nonchocolate Confectionery Manufacturing
"Ease Group is a Japanese company that offers a range of services related to human resources and business consulting. Their services include foreign personnel recruitment, employment and residency applications, property consulting, and management consulting. They aim to solve problems from the root cause of their clients' problems and strive to achieve the best results. Ease Group also provides support for foreign workers, including assistance with job placement, permanent residency applications for those with specific skills, and support for registered support agencies. They also offer property consulting services for those who require it.","['Foreign Material Claims Assistance', 'Administrative Matters', 'Employment Visas Assistance', 'Property Financing Consulting Services', 'Consulting Services for Foreigners', 'Business Improvement Consulting', 'Visa Application and Approval Processes', 'Administrative Attorney', 'Special Skills Registration Assistance']",Services,Employment Agencies & HR Consulting,Professional Employer Organizations
"Rainwater Direct is a UK-based company that specializes in manufacturing and distributing 'Cast Iron Style' rainwater systems made from Heritage Cast Iron, Aluminium, Steel, and UPVC. They offer a wide range of cast iron and aluminium products, including ornamental hoppers, bespoke sandcast guttering, soil pipes, and accessories. With over 30 years of experience, their sales and technical team provides expert advice to contractors, merchants, and self-builders nationwide. Rainwater Direct holds large stocks of all standard ranges of heritage cast iron systems in both primed and pre-painted black, cast aluminium systems in polyester powder-coated textured black, galvanized steel, and cast iron style, as well as UPVC 'Cast iron style' cast iron. They also supply colored aluminium in a full range of RAL & BS Colours, including their new range of ornamental hangers.","['Drain Covers', 'Cast Collar Pipes', 'Heritage Cast Iron Rainwater Guttering', 'Protection Pipes Distributor', 'Pipe Supplier', 'Aluminium Rainwater Systems Manufacturer', 'Drain Adapters', 'Soil Pipes Supplier', 'Water Butts', 'Water Distribution', 'Ornamental Hoppers Manufacturer', 'Rainwater Downpipes Manufacturer', 'Leaf Guards', 'Product Distribution', 'Wall Coping', 'Foundry Grade Cast Iron Manufacturer', 'Box Gutters', 'Heritage Cast Iron Rainwater Systems Manufacturer', 'Plastic Pipe Fittings Manufacturer', 'Gutter Brushes', 'Closers and Trims', 'Specialist Distributor']",Manufacturing,Metal Fabrication Services,All Other Miscellaneous Fabricated Metal Product Manufacturing
